Start: Tue  5 Nov 17:21:10 CET 2019

Command                                 Data                                             Size         Min         Max         Avg         Mem        User          Wall 
gappa/edpl.sh                           random-placements-1000.jplace                     290Kb     0.069s      0.085s      0.074s     39.738Mb     0.070s    0:00.07 
gappa/edpl.sh                           random-placements-2000.jplace                     548Kb     0.082s      0.093s      0.087s     40.691Mb     0.070s    0:00.09 
gappa/edpl.sh                           random-placements-5000.jplace                     1.3Mb     0.129s      0.137s      0.132s     45.054Mb     0.100s    0:00.14 
gappa/edpl.sh                           random-placements-10000.jplace                    2.6Mb     0.198s      0.210s      0.203s     51.976Mb     0.170s    0:00.20 
gappa/edpl.sh                           random-placements-20000.jplace                    5.1Mb     0.345s      0.359s      0.351s     65.781Mb     0.320s    0:00.35 
gappa/edpl.sh                           random-placements-50000.jplace                     13Mb     0.791s      0.799s      0.795s     93.804Mb     0.760s    0:00.80 
gappa/edpl.sh                           random-placements-100000.jplace                    26Mb     1.533s      1.562s      1.540s    147.429Mb     1.480s    0:01.54 
gappa/edpl.sh                           random-placements-200000.jplace                    51Mb     3.002s      3.018s      3.011s    254.617Mb     2.920s    0:03.01 
gappa/edpl.sh                           random-placements-500000.jplace                   127Mb     7.184s      7.219s      7.201s    551.761Mb     6.930s    0:07.19 
gappa/edpl.sh                           random-placements-1000000.jplace                  254Mb    14.202s     14.285s     14.246s   1041.542Mb    13.820s    0:14.28 
guppy/edpl.sh                           random-placements-1000.jplace                     290Kb     0.507s      0.521s      0.514s     96.843Mb     0.470s    0:00.51 
guppy/edpl.sh                           random-placements-2000.jplace                     548Kb     0.536s      0.553s      0.542s     98.906Mb     0.520s    0:00.54 
guppy/edpl.sh                           random-placements-5000.jplace                     1.3Mb     0.581s      0.617s      0.591s    105.082Mb     0.560s    0:00.59 
guppy/edpl.sh                           random-placements-10000.jplace                    2.6Mb     0.788s      0.811s      0.797s    115.121Mb     0.750s    0:00.79 
guppy/edpl.sh                           random-placements-20000.jplace                    5.1Mb     0.989s      1.012s      0.996s    134.308Mb     0.960s    0:00.99 
guppy/edpl.sh                           random-placements-50000.jplace                     13Mb     1.874s      1.903s      1.888s    199.542Mb     1.820s    0:01.91 
guppy/edpl.sh                           random-placements-100000.jplace                    26Mb     3.335s      3.362s      3.344s    294.050Mb     3.250s    0:03.35 
guppy/edpl.sh                           random-placements-200000.jplace                    51Mb     6.273s      6.325s      6.302s    501.476Mb     6.190s    0:06.33 
guppy/edpl.sh                           random-placements-500000.jplace                   127Mb    15.184s     15.613s     15.361s   1146.265Mb    14.750s    0:15.19 
guppy/edpl.sh                           random-placements-1000000.jplace                  254Mb    30.416s     31.078s     30.703s   2219.214Mb    29.700s    0:30.45 
gappa/kr.sh                             random-placements-10                              2.9Mb     0.282s      0.294s      0.284s     17.347Mb     0.270s    0:00.28 
gappa/kr.sh                             random-placements-20                              5.8Mb     0.787s      0.820s      0.799s     25.636Mb     0.780s    0:00.80 
gappa/kr.sh                             random-placements-50                               15Mb     3.599s      3.628s      3.615s     50.855Mb     3.580s    0:03.61 
gappa/kr.sh                             random-placements-100                              29Mb    12.232s     12.521s     12.364s     91.949Mb    12.240s    0:12.28 
gappa/kr.sh                             random-placements-200                              58Mb    45.584s     45.709s     45.655s    175.179Mb    45.500s    0:45.59 
gappa/kr.sh                             random-placements-500                             143Mb   270.063s    273.856s    271.050s    425.730Mb   273.650s    4:33.86 
gappa/kr.sh                             random-placements-1000                            286Mb  1034.537s   1045.571s   1038.378s    845.964Mb  1045.100s   17:25.58 
gappa/kr.sh                             random-placements-2000                            572Mb  4099.440s   4183.764s   4134.975s   1697.695Mb  4122.180s    1:08:43 
gappa/kr.sh                             random-placements-5000                            1.4Gb 25739.700s  25739.700s  25739.699s   4345.570Mb 25730.530s    7:08:59 
gappa/kr.sh                             random-placements-10000                           2.8Gb  1/1  
guppy/kr.sh                             random-placements-10                              2.9Mb     1.254s      1.275s      1.261s     36.304Mb     1.240s    0:01.26 
guppy/kr.sh                             random-placements-20                              5.8Mb     3.574s      3.777s      3.638s     59.820Mb     3.620s    0:03.63 
guppy/kr.sh                             random-placements-50                               15Mb    17.031s     26.970s     19.447s    127.179Mb    16.960s    0:17.03 
guppy/kr.sh                             random-placements-100                              29Mb    59.661s     61.378s     60.452s    241.480Mb    61.240s    1:01.38 
guppy/kr.sh                             random-placements-200                              58Mb   227.416s    233.409s    231.365s    471.339Mb   227.180s    3:47.42 
guppy/kr.sh                             random-placements-500                             143Mb  1444.684s   1444.684s   1444.684s   1214.882Mb  1443.970s   24:04.69 
guppy/kr.sh                             random-placements-1000                            286Mb  5841.371s   5841.371s   5841.371s   2526.949Mb  5838.250s    1:37:21 
guppy/kr.sh                             random-placements-2000                            572Mb 24721.030s  24721.030s  24721.029s   5349.671Mb 24712.440s    6:52:01 
guppy/kr.sh                             random-placements-5000                            1.4Gb  1/1  
gappa/squash.sh                         random-placements-10                              2.9Mb     0.545s      0.585s      0.558s     18.304Mb     0.570s    0:00.59 
gappa/squash.sh                         random-placements-20                              5.8Mb     1.827s      1.854s      1.836s     26.726Mb     1.820s    0:01.83 
gappa/squash.sh                         random-placements-50                               15Mb    12.506s     13.294s     12.815s     51.332Mb    13.260s    0:13.30 
gappa/squash.sh                         random-placements-100                              29Mb    57.568s     60.991s     58.549s     92.765Mb    57.960s    0:58.03 
gappa/squash.sh                         random-placements-200                              58Mb   335.484s    338.654s    337.240s    175.906Mb   338.500s    5:38.66 
gappa/squash.sh                         random-placements-500                             143Mb  3577.996s   3577.996s   3577.995s    425.523Mb  3577.140s   59:38.00 
gappa/squash.sh                         random-placements-1000                            286Mb 24695.988s  24695.988s  24695.987s    843.019Mb 24693.440s    6:51:36 
gappa/squash.sh                         random-placements-2000                            572Mb 196092.820s  196092.820s  196092.819s   1684.367Mb 175244.910s   54:28:12 
guppy/squash.sh                         random-placements-10                              2.9Mb     3.974s      4.053s      4.023s     43.312Mb     3.940s    0:03.98 
