Start: Wed  8 May 23:54:49 CEST 2019

Command                                 Data                                             Size         Min         Max         Avg         Mem        User          Wall

biopython/read_fasta.py                 random-alignment-1000.fasta                       995Kb       0.018s      0.021s      0.019s     20.828Mb     0.110s    0:00.12
biopython/read_fasta.py                 random-alignment-2000.fasta                       2.0Mb       0.036s      0.037s      0.036s     24.554Mb     0.130s    0:00.15
biopython/read_fasta.py                 random-alignment-5000.fasta                       4.9Mb       0.092s      0.105s      0.096s     34.824Mb     0.200s    0:00.21
biopython/read_fasta.py                 random-alignment-10000.fasta                      9.8Mb       0.201s      0.213s      0.206s     52.613Mb     0.320s    0:00.34
biopython/read_fasta.py                 random-alignment-20000.fasta                       20Mb       0.418s      0.440s      0.425s     87.710Mb     0.530s    0:00.58
biopython/read_fasta.py                 random-alignment-50000.fasta                       49Mb       1.180s      1.214s      1.196s    193.082Mb     1.340s    0:01.43
biopython/read_fasta.py                 random-alignment-100000.fasta                      98Mb       2.551s      2.666s      2.613s    368.941Mb     2.760s    0:02.95
biopython/read_fasta.py                 random-alignment-200000.fasta                     195Mb       5.219s      5.477s      5.308s    720.328Mb     5.630s    0:05.96
biopython/read_fasta.py                 random-alignment-500000.fasta                     487Mb      13.219s     13.605s     13.444s   1773.992Mb    14.080s    0:14.82
biopython/read_fasta.py                 random-alignment-1000000.fasta                    973Mb      26.337s     27.306s     26.833s   3530.925Mb    28.770s    0:30.36
dendropy/read_fasta.py                  random-alignment-1000.fasta                       995Kb       0.756s      0.764s      0.760s     47.621Mb     0.900s    0:00.94
dendropy/read_fasta.py                  random-alignment-2000.fasta                       2.0Mb       1.814s      1.841s      1.826s     73.398Mb     1.980s    0:02.03
dendropy/read_fasta.py                  random-alignment-5000.fasta                       4.9Mb       6.829s      6.930s      6.883s    150.468Mb     7.020s    0:07.11
dendropy/read_fasta.py                  random-alignment-10000.fasta                      9.8Mb      21.832s     22.506s     22.129s    278.988Mb    22.410s    0:22.59
dendropy/read_fasta.py                  random-alignment-20000.fasta                       20Mb      76.447s     78.403s     77.478s    536.082Mb    78.410s    1:18.79
dendropy/read_fasta.py                  random-alignment-50000.fasta                       49Mb     426.474s    443.594s    433.797s   1310.703Mb   435.030s    7:15.93
dendropy/read_fasta.py                  random-alignment-100000.fasta                      98Mb    1645.814s   1732.759s   1695.363s   2599.292Mb  1702.610s   28:24.56
dendropy/read_fasta.py                  random-alignment-200000.fasta                     195Mb # Aborted due to time consumption
genesis/read_fasta                      random-alignment-1000.fasta                       995Kb       0.002s      0.005s      0.003s      7.007Mb     0.000s    0:00.00
genesis/read_fasta                      random-alignment-2000.fasta                       2.0Mb       0.005s      0.007s      0.006s      9.246Mb     0.000s    0:00.00
genesis/read_fasta                      random-alignment-5000.fasta                       4.9Mb       0.016s      0.019s      0.017s     14.921Mb     0.000s    0:00.02
genesis/read_fasta                      random-alignment-10000.fasta                      9.8Mb       0.033s      0.037s      0.034s     25.476Mb     0.020s    0:00.03
genesis/read_fasta                      random-alignment-20000.fasta                       20Mb       0.061s      0.082s      0.069s     37.945Mb     0.030s    0:00.06
genesis/read_fasta                      random-alignment-50000.fasta                       49Mb       0.149s      0.153s      0.150s     69.191Mb     0.130s    0:00.16
genesis/read_fasta                      random-alignment-100000.fasta                      98Mb       0.292s      0.306s      0.300s    121.484Mb     0.260s    0:00.31
genesis/read_fasta                      random-alignment-200000.fasta                     195Mb       0.593s      0.722s      0.625s    226.074Mb     0.620s    0:00.75
genesis/read_fasta                      random-alignment-500000.fasta                     487Mb       1.650s      1.939s      1.764s    539.820Mb     1.450s    0:01.74
genesis/read_fasta                      random-alignment-1000000.fasta                    973Mb       3.069s      3.552s      3.270s   1062.273Mb     2.800s    0:03.20
libpll/read_fasta                       random-alignment-1000.fasta                       995Kb       0.006s      0.007s      0.006s     10.429Mb     0.000s    0:00.00
libpll/read_fasta                       random-alignment-2000.fasta                       2.0Mb       0.013s      0.016s      0.013s     18.410Mb     0.010s    0:00.01
libpll/read_fasta                       random-alignment-5000.fasta                       4.9Mb       0.032s      0.039s      0.035s     41.941Mb     0.030s    0:00.04
libpll/read_fasta                       random-alignment-10000.fasta                      9.8Mb       0.067s      0.076s      0.072s     81.312Mb     0.040s    0:00.08
libpll/read_fasta                       random-alignment-20000.fasta                       20Mb       0.141s      0.167s      0.150s    160.046Mb     0.090s    0:00.16
libpll/read_fasta                       random-alignment-50000.fasta                       49Mb       0.325s      0.404s      0.357s    395.707Mb     0.230s    0:00.36
libpll/read_fasta                       random-alignment-100000.fasta                      98Mb       0.639s      0.814s      0.686s    788.601Mb     0.520s    0:00.88
